verb,embedding_score,nouns,llm_score,tag,brief_reason,keep
railroad,0.5277,"depot,locomotive,railway,train",2,not_action,railroad as verb is uncommon; nouns suggest train system,False
ramp,0.5952,"freeway,parkway,turnpike,expressway",1,not_action,ramp as verb is uncommon; nouns suggest roads,False
rat,0.5725,"rodent,snake,toad,rabbit",2,not_action,rat as verb (inform on) doesn't match animal nouns,False
react,0.5683,"chloride,sodium,potassium,calcium",3,obscure,"chemical elements that react, but too technical",False
read,0.4631,"script,poem,poetry,book",5,good,things you read,True
reaffirm,0.4581,"commitment,faith,determination,belief",4,good,things you reaffirm,True
reap,0.5445,"harvest,corn,wheat,rice",4,good,crops you reap,True
rebuild,0.4977,"temple,castle,cathedral,palace",4,good,structures you rebuild,True
rebut,0.4966,"defendant,testimony,prosecution,witness",3,obscure,"legal terms, somewhat specialized",False
recite,0.5841,"poem,verse,poetry,hymn",4,good,things you recite,True
reckon,0.5466,"think,know,say,going",2,too_broad,"generic verbs, not specific to reckoning",False
recoil,0.7268,"firearm,pistol,gun,rifle",5,good,weapons that recoil when fired,True
reconcile,0.4911,"faith,theology,doctrine,religion",3,too_abstract,abstract religious concepts,False
recount,0.5654,"ballot,voter,election,vote",4,good,election terms related to recounting votes,True
recruit,0.5697,"platoon,battalion,sergeant,regiment",4,good,military units that recruit,True
recur,0.4532,"tumor,kidney,infection,disease",4,good,medical conditions that recur,True
refine,0.4569,"technique,concept,method,approach",4,good,things you refine,True
reform,0.4503,"conservative,party,progressive,liberal",3,too_abstract,"political ideologies, abstract",False
refrain,0.661,"verse,melody,lyric,song",2,better_answer_exists,nouns suggest musical refrain (noun) not the verb,False
regiment,0.6006,"infantry,battalion,platoon,army",1,not_action,regiment as verb is uncommon; nouns suggest military units,False
regulate,0.5495,"secretion,metabolism,calcium,protein",3,obscure,"biological processes, too technical",False
reinforce,0.6641,"platoon,battalion,infantry,regiment",4,good,military units that get reinforced,True
reject,0.5973,"notion,hypothesis,idea,theory",4,good,concepts you reject,True
relieve,0.5631,"discomfort,pain,stress,anxiety",5,good,conditions you relieve,True
remove,0.4541,"tumor,tissue,bone,skin",4,good,body parts surgically removed,True
rent,0.5655,"landlord,tenancy,tenant,lease",4,good,rental terms,True
repay,0.5876,"borrower,mortgage,loan,lending",4,good,financial terms related to repayment,True
repel,0.4603,"invasion,attack,assault,raid",4,good,military actions you repel,True
repent,0.4997,"savior,salvation,god,heaven",3,too_abstract,"religious concepts, abstract",False
reproduce,0.4558,"offspring,mating,breeding,nest",4,good,reproduction-related terms,True
require,0.4863,"visa,passport,permit,license",4,good,documents that are required,True
rescue,0.545,"lifeboat,boat,submarine,vessel",4,good,vessels used for rescue,True
resolve,0.4726,"impasse,dispute,conflict,crisis",5,good,situations you resolve,True
retail,0.5945,"grocery,supermarket,store,pharmacy",4,good,places that retail goods,True
revolt,0.6116,"insurrection,uprising,rebellion,revolution",4,good,types of revolts,True
ride,0.4654,"bicycle,bus,train,truck",5,good,vehicles you ride,True
rifle,0.6486,"pistol,shotgun,firearm,revolver",2,not_action,rifle as verb (search through) doesn't match weapon nouns,False
roam,0.668,"herd,livestock,sheep,cattle",4,good,animals that roam,True
roar,0.4645,"lion,beast,tiger,creature",4,good,animals that roar,True
rob,0.6521,"drummer,bass,guitarist,guitar",1,invalid,musical instruments don't relate to robbing,False
rotate,0.5156,"spindle,rotor,axle,cylinder",4,good,mechanical parts that rotate,True
roughcast,0.5474,"stucco,masonry,brick,stone",2,obscure,specialized construction term,False
rouse,0.6682,"concerto,symphony,composer,orchestra",2,wrong_sense,musical terms don't relate to rousing/awakening,False
sail,0.6627,"yacht,boat,vessel,ship",5,good,vessels that sail,True
salute,0.4591,"parade,tribute,celebration,ceremony",4,good,events where you salute,True
sandwich,0.5952,"mayonnaise,salad,bacon,sauce",2,not_action,sandwich as verb is uncommon; nouns suggest food ingredients,False
satisfy,0.4761,"thirst,curiosity,appetite,desire",5,good,needs/wants you satisfy,True
sauce,0.6002,"garlic,tomato,onion,pepper",1,not_action,sauce as verb is uncommon; nouns suggest ingredients,False
say,0.5711,"think,want,thing,know",2,too_broad,"generic words, not specific to saying",False
scalp,0.4541,"hair,forehead,skin,skull",2,not_action,scalp as verb is uncommon/disturbing; nouns suggest body parts,False
scan,0.4629,"biopsy,diagnosis,tumor,patient",4,good,medical terms related to scanning,True
scatter,0.4828,"diffraction,wavelength,detector,electron",2,obscure,"physics terms, too technical",False
scour,0.4574,"sediment,gravel,vegetation,sand",3,obscure,"geological terms, somewhat specialized",False
scrape,0.4955,"vegetation,forage,shrub,grass",3,wrong_sense,plant terms don't clearly relate to scraping,False
scrub,0.5644,"shrub,oak,pine,beech",2,better_answer_exists,nouns suggest scrub vegetation (noun) not the verb,False
secede,0.453,"secession,sovereignty,sovereign,independence",2,too_direct,secession is directly derived from secede,False
sediment,0.4803,"gravel,sand,debris,mud",1,not_action,"sediment is primarily a noun, not an action verb",False
seed,0.4608,"planting,crop,flowering,corn",4,good,agricultural terms related to seeding,True
sell,0.5486,"buyer,buy,sale,purchase",4,good,sales-related terms,True
shame,0.4879,"humiliation,embarrassment,disgrace,anger",4,good,emotions related to shaming,True
shave,0.595,"haircut,mustache,beard,hair",5,good,hair-related terms for shaving,True
shine,0.4506,"gospel,song,sung,album",2,wrong_sense,musical terms don't relate to shining/gleaming,False
shipwreck,0.5318,"schooner,vessel,voyage,sailing",4,good,nautical terms related to shipwrecking,True
shoot,0.6303,"bullet,pistol,gun,rifle",5,good,weapons and ammunition for shooting,True
shop,0.5496,"bakery,cafe,store,restaurant",4,good,places where you shop,True
shore,0.5254,"lake,inlet,pond,reservoir",2,not_action,shore as verb (support) doesn't match water body nouns,False
sing,0.5977,"hymn,song,melody,verse",2,too_direct,song is directly what you sing,False
sink,0.6103,"warship,submarine,destroyer,ship",4,good,"ships can sink, clear connection",True
slant,0.5074,"ballad,pop,song,album",1,better_answer_exists,"these are music genres/forms, not things that slant",False
sluice,0.5464,"weir,dam,reservoir,waterway",3,obscure,"sluice is obscure, connection unclear",False
smelt,0.6129,"eel,salmon,fish,shrimp",4,good,"fish can be smelted (processed), good connection",True
sniff,0.4765,"scent,odor,smell,mouth",2,too_direct,smell/scent/odor are too directly related to sniffing,False
solve,0.4833,"puzzle,problem,riddle,mystery",2,too_direct,these are exactly what you solve,False
sonnet,0.5577,"quatrain,poet,poem,verse",1,not_action,"sonnet is a noun, not an action verb",False
soothe,0.5007,"irritation,pain,anger,anxiety",4,good,these are things you soothe/calm,True
sow,0.5707,"dissension,mistrust,distrust,hatred",4,good,you can sow discord/negative emotions,True
speak,0.4761,"dialect,language,accent,tongue",3,too_direct,these are directly related to speaking,False
specify,0.4895,"minimum,maximum,requirement,limit",4,good,these are things you specify/define,True
spend,0.6653,"night,weekend,evening,afternoon",5,good,excellent - you spend time periods,True
spin,0.5624,"electron,particle,proton,spectroscopy",3,too_abstract,quantum spin is too technical/abstract,False
splinter,0.4673,"liberation,communist,socialist,nationalist",1,better_answer_exists,"these are political movements, unclear connection",False
sponge,0.5216,"cake,pastry,dough,chocolate",3,obscure,sponge cake connection but obscure as verb,False
squall,0.4869,"wind,weather,rainfall,rain",2,not_action,squall is more noun than action verb,False
stabilize,0.5381,"substrate,molecule,electron,protein",3,too_abstract,too technical/scientific,False
stag,0.4889,"deer,hunting,rabbit,wolf",1,not_action,"stag is a noun (male deer), not action",False
steam,0.5377,"piston,engine,valve,cylinder",3,obscure,steam as verb with engine parts is unclear,False
steer,0.4949,"axle,brake,tire,wheel",4,good,car parts used for steering,True
stick,0.4711,"blade,knife,weapon,sword",3,better_answer_exists,"these are stabbing weapons, stab is better answer",False
stimulate,0.5245,"secretion,hormone,insulin,metabolism",4,good,biological processes that can be stimulated,True
stink,0.6099,"pest,insect,wasp,ant",3,better_answer_exists,"insects don't particularly stink, buzz/swarm better",False
stir,0.5396,"sauce,soup,dish,cooking",4,good,foods you stir while cooking,True
straighten,0.6441,"wrist,elbow,knee,leg",5,good,body parts you straighten,True
stray,0.7454,"kitten,dog,cat,puppy",5,good,animals that can stray/wander,True
stretch,0.6894,"roadway,freeway,highway,expressway",5,good,roads stretch across distances,True
struggle,0.5004,"liberation,equality,freedom,democracy",4,good,ideals people struggle for,True
stucco,0.5178,"gable,exterior,facade,roof",3,obscure,stucco as verb is uncommon,False
suck,0.4508,"juice,nectar,milk,honey",4,good,liquids you can suck,True
suffer,0.5087,"anxiety,pain,stress,depression",2,too_direct,these are exactly what you suffer from,False
summon,0.5779,"demon,creature,beast,monster",4,good,supernatural beings you summon,True
supply,0.5236,"irrigation,reservoir,water,dam",4,good,water infrastructure that supplies,True
suppose,0.4712,"polynomial,integer,parameter,vertex",3,too_abstract,"mathematical terms, too abstract",False
suppress,0.7449,"rebellion,insurrection,revolt,uprising",5,good,uprisings that get suppressed,True
swallow,0.5924,"goose,owl,bird,falcon",1,not_action,"swallow is also a bird type, confusing",False
swan,0.5362,"lake,river,pond,hill",1,not_action,"swan is a noun, not an action",False
swirl,0.5163,"piston,cylinder,torque,valve",2,better_answer_exists,"engine parts don't swirl, rotate is better",False
tame,0.5625,"pet,bird,animal,cat",4,good,animals you can tame,True
taxi,0.5646,"jet,airline,aircraft,aviation",3,obscure,aircraft taxi but obscure usage,False
teach,0.5614,"curriculum,classroom,mathematics,math",3,too_direct,directly related to teaching,False
tear,0.5483,"tendon,knee,shoulder,surgery",4,good,body parts that can tear,True
telescope,0.587,"interferometer,infrared,spectrometer,spectroscopy",1,not_action,"telescope is noun, not common as verb",False
tell,0.4569,"want,know,wrong,going",1,too_broad,"too vague, unclear connection",False
tempt,0.4689,"sin,devil,god,evil",3,sensitive,religious themes may be sensitive,False
tense,0.5868,"verb,vowel,noun,syllable",2,better_answer_exists,"grammar terms, conjugate is better answer",False
testify,0.5404,"prosecution,jury,trial,defendant",4,good,legal context where you testify,True
think,0.5344,"lot,bit,sort,kind",1,too_broad,"too vague, no clear connection",False
throttle,0.4929,"pedal,accelerator,brake,steering",4,good,"car controls, throttle relates to acceleration",True
thrust,0.545,"rotor,propeller,compressor,turbine",4,good,engine parts that create thrust,True
tip,0.5156,"jaw,thumb,finger,nose",3,better_answer_exists,these have tips but point is better answer,False
tolerate,0.5162,"humidity,moisture,dry,wet",4,good,weather conditions you tolerate,True
trace,0.47,"lineage,ancestry,descent,origin",4,good,family history you can trace,True
trail,0.4724,"hiking,campground,wilderness,camping",2,not_action,trail more commonly noun than verb here,False
train,0.5556,"locomotive,freight,rail,railway",1,not_action,train as noun is primary meaning here,False
transit,0.5431,"streetcar,subway,trolley,rail",2,not_action,transit more commonly noun than verb,False
translate,0.4778,"vernacular,language,word,phrase",3,too_direct,directly related to translation,False
transplant,0.5742,"marrow,kidney,liver,lung",4,good,organs that can be transplanted,True
travel,0.4554,"destination,journey,trip,adventure",2,too_direct,directly related to traveling,False
treat,0.6047,"malaria,tuberculosis,disease,infection",4,good,medical conditions you treat,True
tree,0.5294,"shrub,elm,pine,oak",1,not_action,"tree is noun, not action verb",False
trim,0.5219,"grille,chrome,sedan,coupe",3,obscure,car trim is more noun than verb usage,False
trumpet,0.7609,"sax,saxophone,piano,guitar",1,not_action,"trumpet is noun, play is the action",False
tug,0.6571,"vessel,schooner,boat,ship",4,good,boats that can tug or be tugged,True
underestimate,0.4949,"prevalence,incidence,risk,probability",4,good,statistical measures you can underestimate,True
undertake,0.5128,"pilgrimage,journey,voyage,expedition",4,good,journeys you undertake,True
underwrite,0.5318,"lending,mortgage,debt,loan",4,good,financial instruments that are underwritten,True
unload,0.4941,"cargo,shipment,container,freight",4,good,things you unload from transport,True
utter,0.6007,"astonishment,disbelief,disdain,dismay",4,good,emotions you utter/express,True
vary,0.4974,"size,length,width,diameter",4,good,measurements that can vary,True
verify,0.4795,"correctness,authenticity,validity,accuracy",3,too_direct,these are what you verify,False
vest,0.5936,"sweater,jacket,shirt,coat",2,not_action,"vest primarily noun, wear is the action",False
vow,0.4649,"obedience,allegiance,devotion,loyalty",4,good,things you vow or pledge,True
want,0.6397,"know,think,say,tell",1,too_broad,"too vague, unclear connection",False
wanton,0.4753,"cruelty,brutality,violence,persecution",1,not_action,"Wanton is primarily an adjective meaning reckless/immoral, not a clear action verb",False
weather,0.5487,"rain,rainfall,snow,wet",3,good,Weather as verb (to endure/survive) works but nouns suggest weather as noun more naturally,False
weave,0.5673,"fabric,cloth,silk,linen",4,good,"Clear connection - weave creates these materials, good puzzle cluing",True
wed,0.7597,"daughter,niece,husband,son",2,too_broad,Family relationships don't clearly clue the action of marrying,False
weep,0.666,"sorrow,sadness,grief,mourning",4,good,Strong connection - these emotions naturally cause weeping,True
win,0.5461,"playoff,championship,trophy,title",4,good,Clear connection - these are things you win in competition,True
withhold,0.5262,"assent,consent,approval,permission",4,good,Good puzzle - these are things commonly withheld,True
worry,0.4688,"thing,going,tell,think",1,too_abstract,Nouns are too vague and abstract to clearly clue worry,False
worship,0.6238,"congregation,pastor,synagogue,church",4,good,Clear religious context where worship occurs,True
wrap,0.4864,"cloth,plastic,fabric,silk",4,good,These are materials used for wrapping things,True
wrinkle,0.4765,"forehead,nose,skin,neck",4,good,Body parts that commonly wrinkle with age/expression,True
write,0.5879,"biography,autobiography,novel,book",5,good,"Excellent - these are things authors write, clear puzzle connection",True
yield,0.5565,"crop,wheat,harvest,grain",4,good,Agricultural context - fields yield these products,True
